Region,Block_Number,Block_Name,Site_ID,Site_Name,Latitude,Longitude,Site_Type,GRTS_Number,Date_Established
KEP,05,KEFJ,KEP_B05_SI_02,McCarty or McCarty Fjord,59.56433,-150.40593,soft,NA,16-Jun-07
KEP,05,KEFJ,KEP_B05_SI_03,Nuka Bay,59.52426,-150.63919,soft,NA,14-Jun-07
KEP,05,KEFJ,KEP_B05_SI_04,Nuka Passage or Nuka Pass,59.3924,-150.68752,soft,NA,12-Jun-07
KEP,05,KEFJ,KEP_B05_SI_05,Harris or Harris Bay,59.72334,-149.94107,soft,NA,17-Jun-07
PWS,07,NPWS,PWS_B07_ME_01,Cedar or Cedar Bay,60.97401,-147.4021,mussel,NA,9-Jun-13
PWS,07,NPWS,PWS_B07_ME_02,Esther or Esther Passage,60.93,-148.06332,mussel,NA,13-Jun-13
PWS,07,NPWS,PWS_B07_ME_03,Bettles or Bettles Bay,60.94331,-148.30196,mussel,NA,6-Jun-13
PWS,07,NPWS,PWS_B07_ME_04,Perry or Perry Island,60.7778,-147.9157,mussel,NA,22-Jun-12
PWS,07,NPWS,PWS_B07_ME_05,Unakwik or Unakwik Inlet,60.95176,-147.61014,mussel,NA,11-Jun-13
PWS,07,NPWS,PWS_B07_RE_01,Cedar or Cedar Bay,60.96614,-147.39491,rocky,7,9-Jun-12
PWS,07,NPWS,PWS_B07_RE_02,Esther or Esther Passage,60.9257,-148.05872,rocky,2,12-Jun-13
PWS,07,NPWS,PWS_B07_RE_03,Bettles or Bettles Bay,60.95496,-148.29942,rocky,3,6-Jun-13
PWS,07,NPWS,PWS_B07_RE_04,Perry or Perry Island,60.6771,-147.91689,rocky,6,22-Jun-12
PWS,07,NPWS,PWS_B07_RE_05,Unakwik or Unakwik Inlet,60.94948,-147.59444,rocky,11,10-Jun-13
PWS,07,NPWS,PWS_B07_SE_01,Cedar or Cedar Bay,60.96042,-147.38977,soft,NA,9-Jun-13
PWS,07,NPWS,PWS_B07_SE_02,Esther or Esther Passage,60.93349,-148.03279,soft,NA,12-Jun-13
PWS,07,NPWS,PWS_B07_SE_03,Bettles or Bettles Bay,60.94865,-148.31696,soft,NA,6-Jun-13
PWS,07,NPWS,PWS_B07_SE_04,Perry or Perry Island,60.67899,-147.88872,soft,NA,8-Jun-13
PWS,07,NPWS,PWS_B07_SE_05,Unakwik or Unakwik Inlet,60.94949,-147.60268,soft,NA,11-Jun-13
PWS,08,WPWS,PWS_B08_MI_01,Hogan or Hogan Bay,60.20707,-147.7625,mussel,NA,29-May-10
PWS,08,WPWS,PWS_B08_MI_02,Iktua or Iktua Bay,60.12009,-147.99306,mussel,NA,28-May-10
PWS,08,WPWS,PWS_B08_MI_03,Whale or Whale Bay,60.2265,-148.2505,mussel,NA,27-May-10
PWS,08,WPWS,PWS_B08_MI_04,Johnson or Johnson Bay,60.33931,-147.83302,mussel,NA,26-May-10
PWS,08,WPWS,PWS_B08_MI_05,Herring or Herring Bay,60.46685,-147.7104,mussel,NA,25-May-10
PWS,08,WPWS,PWS_B08_RI_01,Hogan or Hogan Bay,60.20197,-147.75984,rocky,1,13-Jul-07
PWS,08,WPWS,PWS_B08_RI_02,Iktua or Iktua Bay,60.13004,-147.99828,rocky,6,14-Jul-07
PWS,08,WPWS,PWS_B08_RI_03,Whale or Whale Bay,60.22661,-148.25105,rocky,2,15-Jul-07
PWS,08,WPWS,PWS_B08_RI_04,Johnson or Johnson Bay,60.33995,-147.83482,rocky,4,16-Jul-07
PWS,08,WPWS,PWS_B08_RI_05,Herring or Herring Bay,60.45989,-147.71753,rocky,3,17-Jul-07
PWS,08,WPWS,PWS_B08_RS_02,Herring - Bear or Herring Bay- Bear Cove,60.46931,-147.70929,rocky,NA,18-Jul-07
PWS,08,WPWS,PWS_B08_RS_04,Disk or Disk Island,60.50433,-147.65466,rocky,NA,12-Jul-07
PWS,08,WPWS,PWS_B08_RS_05,Northwest or Northwest Bay,60.55543,-147.61177,rocky,NA,11-Jul-07
PWS,08,WPWS,PWS_B08_SI_01,Hogan or Hogan Bay,60.20708,-147.766358,soft,NA,13-Jul-07
PWS,08,WPWS,PWS_B08_SI_02,Iktua or Iktua Bay,60.0995,-148.00528,soft,NA,14-Jul-07
PWS,08,WPWS,PWS_B08_SI_03,Whale or Whale Bay,60.23246,-148.26189,soft,NA,15-Jul-07
PWS,08,WPWS,PWS_B08_SI_04,Johnson or Johnson Bay,60.33883,-147.80721,soft,NA,16-Jul-07
PWS,08,WPWS,PWS_B08_SI_05,Herring or Herring Bay,60.45647,-147.71164,soft,NA,18-Jun-11
PWS,08,WPWS,PWS_B08_SS_02,Herring - Southwest or Herring Bay- Southwest,60.449013,-147.719629,soft,NA,17-Jul-07
PWS,08,WPWS,PWS_B08_SS_04,Disk or Disk Island,60.49812,-147.66151,soft,NA,12-Jul-07
PWS,08,WPWS,PWS_B08_SS_05,Northwest or Northwest Bay,60.55073,-147.57921,soft,NA,11-Jul-07
PWS,09,EPWS,PWS_B09_ME_01,Galena or Galena Bay,60.94349,-146.67668,mussel,NA,8-Jun-12
PWS,09,EPWS,PWS_B09_ME_02,Fidalgo or Port Fidalgo,60.86214,-146.24434,mussel,NA,7-Jun-12
PWS,09,EPWS,PWS_B09_ME_03,Olsen or Olsen Bay,60.73042,-146.19449,mussel,NA,6-Jun-12
